ostta atha
ostta05g03090 AT3G07670
ostta05g03250 AT3G45880
ostta05g03270 AT5G56730
ostta05g03550 AT2G39670
ostta05g03560 AT1G55040
ostta05g03750 AT5G46420
ostta05g03830 AT1G45474
ostta05g04500 AT3G09740
ostta05g04530 AT5G58250
ostta06g00460 AT4G04350
ostta06g00920 AT1G61620
ostta06g01320 AT4G10760
ostta06g01460 AT3G25470
ostta06g01650 AT5G61410
ostta06g02120 AT2G21130
ostta06g02430 AT1G71820
ostta06g02605 AT3G26710
ostta06g02750 AT5G10350
ostta06g02800 AT1G58060
ostta06g02850 AT1G76080
ostta06g03010 AT1G59760
ostta06g03140 AT3G24190
ostta06g03325 AT2G32000
ostta06g03390 ATCG00520
ostta06g03510 AT2G20860
ostta06g03980 AT3G47120
ostta06g04490 AT5G64830
ostta06g04520 AT3G14110
ostta07g00380 AT4G15110
ostta07g00640 ATCG00730
ostta07g00740 AT4G17170
ostta07g01205 AT3G20390
ostta07g01350 AT4G09650
ostta07g01610 AT2G36250
ostta07g01660 AT1G22850
ostta07g01790 AT1G55150
ostta07g02450 AT1G44446
ostta07g02530 AT5G01530
ostta07g02570 AT5G07660
ostta07g02590 AT4G25080
ostta07g03635 AT5G05920
ostta07g03920 AT3G13740
ostta07g04140 AT1G12840
ostta07g04310 AT4G00830
ostta07g04500 AT1G23360
ostta07g04510 AT3G45040
ostta07g04530 AT1G62750
ostta08g00330 AT5G63870
ostta08g00460 AT3G18040
ostta08g00820 AT4G31170
ostta08g00840 AT3G45300
ostta08g01100 AT3G51820
ostta08g01210 AT5G41150
ostta08g01400 AT5G16750
ostta08g01420 AT4G40000
ostta08g01530 AT4G38020
ostta08g01880 AT5G58620
ostta08g01900 AT3G10180
ostta08g02360 AT5G36790
ostta08g02480 AT1G19570
ostta08g04240 AT1G03430
ostta09g00130 AT1G03905
ostta09g00760 AT5G39710
ostta09g00860 AT4G21110
ostta09g01440 AT3G08010
ostta09g01760 AT1G67660
ostta09g01800 AT3G60800
ostta09g02790 AT3G20540
ostta09g03050 AT2G01440
ostta09g03210 AT5G13640
ostta09g03220 AT4G27030
ostta09g03350 AT3G03500
ostta09g04020 AT1G31870
ostta09g04420 AT3G61470
ostta09g04440 AT5G53470
