GO ID	Description	p-value	q-value	Enrichment (Target Ratio; BG Ration)	Genes
GO:0034470	ncRNA processing	2.30962882585119e-07	7.27146300196212e-06	2.11 (35/736; 55/2435)	ostta01g03000 ostta02g01330 ostta02g04010 ostta03g03740 ostta03g05380 ostta04g00770 ostta04g03790 ostta05g01450 ostta05g03750 ostta06g01040 ostta06g01560 ostta07g01200 ostta07g03020 ostta08g01000 ostta08g01040 ostta08g01400 ostta08g02930 ostta08g03090 ostta08g03590 ostta09g00820 ostta09g01210 ostta09g03580 ostta10g01740 ostta11g00530 ostta11g00590 ostta12g02280 ostta12g02890 ostta13g00760 ostta14g00750 ostta14g00780 ostta14g02635 ostta15g01650 ostta16g00610 ostta17g00250 ostta20g00600
GO:0006364	rRNA processing	5.46658620725268e-07	1.45628086006974e-05	2.81 (17/736; 20/2435)	ostta02g01330 ostta02g04010 ostta03g03740 ostta04g00770 ostta05g01450 ostta05g03750 ostta06g01560 ostta07g01200 ostta08g01400 ostta08g02930 ostta08g03090 ostta09g00820 ostta14g00750 ostta14g00780 ostta15g01650 ostta16g00610 ostta17g00250
GO:0016072	rRNA metabolic process	5.46658620725268e-07	1.45628086006974e-05	2.81 (17/736; 20/2435)	ostta02g01330 ostta02g04010 ostta03g03740 ostta04g00770 ostta05g01450 ostta05g03750 ostta06g01560 ostta07g01200 ostta08g01400 ostta08g02930 ostta08g03090 ostta09g00820 ostta14g00750 ostta14g00780 ostta15g01650 ostta16g00610 ostta17g00250
GO:1901566	organonitrogen compound biosynthetic process	8.21420509146585e-07	2.03193494367839e-05	1.33 (172/736; 428/2435)	ostta01g00210 ostta01g00570 ostta01g01450 ostta01g02320 ostta01g02480 ostta01g03000 ostta01g03150 ostta01g04030 ostta01g04410 ostta01g05360 ostta01g06000 ostta01g06290 ostta01g06390 ostta02g00840 ostta02g00890 ostta02g02700 ostta02g03140 ostta02g03260 ostta02g03900 ostta02g03980 ostta02g04390 ostta02g04560 ostta02g04600 ostta02g04990 ostta02g05200 ostta02g05370 ostta02g05520 ostta03g00850 ostta03g01170 ostta03g01400 ostta03g02650 ostta03g02860 ostta03g03860 ostta03g04150 ostta03g04290 ostta03g05410 ostta03g05440 ostta03g05880 ostta04g01100 ostta04g01270 ostta04g01860 ostta04g02750 ostta04g03090 ostta04g04230 ostta04g04540 ostta04g05030 ostta05g00430 ostta05g01130 ostta05g01460 ostta05g01740 ostta05g03820 ostta05g03870 ostta05g04420 ostta05g05000 ostta06g00880 ostta06g01030 ostta06g01150 ostta06g01640 ostta06g01800 ostta06g02900 ostta06g02920 ostta06g02970 ostta06g03020 ostta06g03270 ostta06g03332 ostta06g03820 ostta07g00050 ostta07g00060 ostta07g01540 ostta07g01975 ostta07g01990 ostta07g02510 ostta07g03020 ostta07g03230 ostta07g03490 ostta07g03550 ostta07g04450 ostta07g04640 ostta08g00410 ostta08g00580 ostta08g01430 ostta08g01750 ostta08g01890 ostta08g01895 ostta08g02920 ostta08g03040 ostta08g03610 ostta09g00580 ostta09g00792 ostta09g00930 ostta09g03000 ostta09g03180 ostta10g00250 ostta10g00970 ostta10g01350 ostta10g02015 ostta10g02210 ostta10g02290 ostta10g02570 ostta10g02610 ostta11g00780 ostta11g00980 ostta11g01350 ostta11g01460 ostta11g01660 ostta11g01750 ostta11g02020 ostta11g02360 ostta11g02380 ostta11g02400 ostta11g02500 ostta11g02730 ostta11g03110 ostta12g00200 ostta12g00900 ostta12g00960 ostta12g01010 ostta12g01530 ostta12g01710 ostta12g02450 ostta12g02760 ostta12g02920 ostta12g02970 ostta12g03060 ostta13g00100 ostta13g00900 ostta13g01570 ostta13g01600 ostta13g02200 ostta14g00140 ostta14g00340 ostta14g00440 ostta14g00880 ostta14g00930 ostta14g01070 ostta14g01080 ostta14g01950 ostta14g01960 ostta14g02197 ostta14g02300 ostta14g02660 ostta15g00045 ostta15g00150 ostta15g00930 ostta15g01180 ostta15g01830 ostta15g02870 ostta16g00330 ostta16g00405 ostta16g00560 ostta16g00770 ostta16g01370 ostta16g01410 ostta16g01480 ostta16g01550 ostta16g01670 ostta16g01720 ostta16g01730 ostta16g01780 ostta17g00360 ostta17g01270 ostta17g01350 ostta17g01760 ostta17g01800 ostta17g02240 ostta18g00480 ostta18g00590 ostta18g01010 ostta18g01510 ostta18g01735 ostta20g00300 ostta20g00570
GO:0016071	mRNA metabolic process	5.99052971512204e-06	0.000138307668510537	2.21 (24/736; 36/2435)	ostta01g01670 ostta02g03180 ostta02g05400 ostta03g00400 ostta03g00490 ostta03g01635 ostta04g00600 ostta04g02180 ostta06g01490 ostta07g03030 ostta08g02680 ostta08g02990 ostta08g04080 ostta09g03810 ostta09g04380 ostta10g00010 ostta11g00220 ostta12g01740 ostta12g03150 ostta13g00800 ostta14g00330 ostta14g01120 ostta14g02750 ostta16g00390
GO:0044085	cellular component biogenesis	1.23261003401368e-05	0.000266795198151646	1.79 (40/736; 74/2435)	ostta01g06340 ostta01g06350 ostta02g01210 ostta02g01330 ostta02g04010 ostta02g05480 ostta03g03740 ostta04g00770 ostta05g01080 ostta05g01450 ostta05g03750 ostta05g03770 ostta05g03810 ostta05g04180 ostta06g01560 ostta07g01200 ostta08g01400 ostta08g01910 ostta08g01920 ostta08g02930 ostta08g03090 ostta09g00820 ostta09g03080 ostta10g00110 ostta11g00860 ostta11g02150 ostta11g02160 ostta12g00980 ostta12g00990 ostta12g02110 ostta13g00670 ostta13g01120 ostta14g00750 ostta14g00780 ostta15g01610 ostta15g01650 ostta16g00610 ostta16g01060 ostta17g00250 ostta17g00640
GO:0009451	RNA modification	1.7211599312698e-05	0.000350626388475396	2.28 (20/736; 29/2435)	ostta01g03000 ostta02g05280 ostta03g03270 ostta03g05380 ostta06g04610 ostta08g01040 ostta08g02930 ostta09g00820 ostta09g01210 ostta11g00100 ostta11g00590 ostta11g02220 ostta13g01890 ostta15g01370 ostta15g02320 ostta16g00980 ostta17g00210 ostta17g00390 ostta17g02200 ostta20g00600
GO:0001522	pseudouridine synthesis	0.000111216406168063	0.00213977763913993	2.36 (15/736; 21/2435)	ostta02g05280 ostta03g03270 ostta06g04610 ostta08g01040 ostta09g01210 ostta11g00100 ostta11g00590 ostta11g02220 ostta13g01890 ostta15g01370 ostta16g00980 ostta17g00210 ostta17g00390 ostta17g02200 ostta20g00600
GO:0006323	DNA packaging	0.000695313869628757	0.0100332571538536	2.43 (11/736; 15/2435)	ostta01g06340 ostta01g06350 ostta05g03770 ostta08g01910 ostta08g01920 ostta11g02150 ostta11g02160 ostta12g00980 ostta12g00990 ostta13g01120 ostta16g01060
GO:0006334	nucleosome assembly	0.000695313869628757	0.0100332571538536	2.43 (11/736; 15/2435)	ostta01g06340 ostta01g06350 ostta05g03770 ostta08g01910 ostta08g01920 ostta11g02150 ostta11g02160 ostta12g00980 ostta12g00990 ostta13g01120 ostta16g01060
GO:0031497	chromatin assembly	0.000695313869628757	0.0100332571538536	2.43 (11/736; 15/2435)	ostta01g06340 ostta01g06350 ostta05g03770 ostta08g01910 ostta08g01920 ostta11g02150 ostta11g02160 ostta12g00980 ostta12g00990 ostta13g01120 ostta16g01060
GO:0034728	nucleosome organization	0.000695313869628757	0.0100332571538536	2.43 (11/736; 15/2435)	ostta01g06340 ostta01g06350 ostta05g03770 ostta08g01910 ostta08g01920 ostta11g02150 ostta11g02160 ostta12g00980 ostta12g00990 ostta13g01120 ostta16g01060
GO:0065004	protein-DNA complex assembly	0.000695313869628757	0.0100332571538536	2.43 (11/736; 15/2435)	ostta01g06340 ostta01g06350 ostta05g03770 ostta08g01910 ostta08g01920 ostta11g02150 ostta11g02160 ostta12g00980 ostta12g00990 ostta13g01120 ostta16g01060
GO:0071824	protein-DNA complex subunit organization	0.000695313869628757	0.0100332571538536	2.43 (11/736; 15/2435)	ostta01g06340 ostta01g06350 ostta05g03770 ostta08g01910 ostta08g01920 ostta11g02150 ostta11g02160 ostta12g00980 ostta12g00990 ostta13g01120 ostta16g01060
GO:0034660	ncRNA metabolic process	0.000725528060741786	0.0100504729256441	1.52 (44/736; 96/2435)	ostta01g03000 ostta02g01330 ostta02g04010 ostta02g04600 ostta03g02860 ostta03g03740 ostta03g05380 ostta04g00770 ostta04g03790 ostta05g01450 ostta05g03750 ostta06g01040 ostta06g01560 ostta06g02920 ostta07g01200 ostta07g03020 ostta08g01000 ostta08g01040 ostta08g01400 ostta08g02930 ostta08g03090 ostta08g03590 ostta08g03610 ostta09g00820 ostta09g01210 ostta09g03580 ostta10g01740 ostta11g00530 ostta11g00590 ostta11g00980 ostta11g02020 ostta12g02280 ostta12g02890 ostta13g00760 ostta13g00900 ostta14g00750 ostta14g00780 ostta14g01080 ostta14g02635 ostta15g01650 ostta16g00610 ostta17g00250 ostta18g00480 ostta20g00600
