ostta	atha
ostta01g02250	AT5G49530
ostta01g02270	AT1G13180
ostta01g02280	AT4G16535
ostta01g02290	AT1G33420
ostta01g02300	AT2G31890
ostta01g02320	AT5G45590
ostta01g02330	AT4G28020
ostta01g02340	AT3G30390
ostta01g02350	AT4G00800
ostta01g02370	AT1G48550
ostta01g02380	AT5G46030
ostta01g02390	AT1G69740
ostta01g02400	AT5G59850
ostta01g02410	AT4G38740
ostta01g02440	AT1G78580
ostta01g02450	AT1G80770
ostta01g02460	AT2G30170
ostta01g02470	AT3G05290
ostta01g02480	AT1G14810
ostta01g02490	AT1G52360
ostta01g02500	AT1G55140
ostta01g02510	AT5G47730
ostta01g02520	AT5G23880
ostta01g02530	AT1G55830
ostta01g02560	AT3G17740
ostta01g02580	AT5G44635
ostta01g02590	AT5G06970
ostta01g02610	AT2G40550
ostta01g02615	AT3G54826
ostta01g02620	AT1G05730
ostta01g02630	AT3G07180
ostta01g02650	AT4G16760
ostta01g02660	AT5G45170
ostta01g02680	AT1G14650
ostta01g02690	AT3G07370
ostta01g02700	AT2G25610
ostta01g02710	AT5G11640
ostta01g02720	AT1G03350
ostta01g02730	AT2G35840
ostta01g02740	AT4G22220
ostta01g02750	AT1G05790
ostta01g02780	AT4G19910
ostta01g02825	AT5G46870
ostta01g02830	AT3G46220
ostta01g02845	AT5G22130
ostta01g02850	AT1G78290
ostta01g02870	AT5G04900
ostta01g02890	AT4G06599
ostta01g02895	AT4G15520
ostta01g02910	AT1G21610
ostta01g02920	AT3G01770
ostta01g02930	AT3G46960
ostta01g02950	AT3G26500
ostta01g02960	AT1G18440
ostta01g02970	AT3G10070
ostta01g02980	AT1G78190
ostta01g02990	AT1G32850
ostta01g03020	AT4G16800
ostta01g03030	AT5G06580
ostta01g03040	AT2G01140
ostta01g03050	AT5G04360
ostta01g03060	AT2G32520
ostta01g03070	AT3G12050
ostta01g03090	AT1G11780
ostta01g03100	AT3G62310
ostta01g03110	AT4G31300
ostta01g03120	AT4G36940
ostta01g03130	AT4G21070
ostta01g03140	AT1G80230
ostta01g03150	AT3G60770
ostta01g03160	AT5G49880
ostta01g03170	AT3G63540
ostta01g03180	AT5G49970
ostta01g03190	AT1G13950
ostta01g03200	AT1G56500
ostta01g03210	AT1G27970
ostta01g03220	AT1G68310
ostta01g03230	AT2G28605
ostta01g03240	AT5G09390
ostta01g03250	AT4G32060
ostta01g03260	AT5G12290
ostta01g03270	AT3G20810
ostta01g03280	AT1G36180
ostta01g03290	AT5G08720
ostta01g03300	AT1G71500
ostta01g03320	AT3G13772
ostta01g03330	AT5G18900
ostta01g03340	AT2G26990
ostta01g03350	AT2G22120
ostta01g03360	AT5G39600
ostta01g03370	AT2G46420
ostta01g03380	AT4G25180
ostta01g03390	AT2G40490
ostta01g03400	AT1G55535
ostta01g03410	AT5G37530
ostta01g03420	AT1G15690
ostta01g03430	AT5G51040
ostta01g03440	AT5G20070
ostta01g03450	AT3G08920
ostta01g03460	AT4G24730
ostta01g03470	AT3G06290
ostta01g03480	AT1G63980
ostta01g03490	AT2G38560
ostta01g03495	AT1G34065
ostta01g03500	AT1G09300
ostta01g03530	AT4G39460
ostta01g03540	AT5G24650
ostta01g03560	AT2G41520
ostta01g03570	AT1G80930
ostta01g03580	AT5G10800
ostta01g03600	AT3G12670
ostta01g03620	AT5G43830
ostta01g03630	AT1G10390
ostta01g03640	AT4G08390
ostta01g03650	AT4G23420
ostta01g03660	AT3G01720
ostta01g03680	AT5G60590
ostta01g03720	AT1G20910
ostta01g03750	AT5G58740
ostta01g03760	AT5G03340
ostta01g03770	AT2G33040
ostta01g03780	AT5G08630
ostta01g03790	AT4G33650
ostta01g03800	AT1G71440
ostta01g03810	AT2G40690
ostta01g03850	AT1G80920
ostta01g03860	AT4G03115
ostta01g03880	AT5G11260
ostta01g03890	AT5G10980
ostta01g03900	AT2G40650
ostta01g03910	AT3G43810
ostta01g03920	AT1G67700
ostta01g03930	AT5G05490
ostta01g03940	AT1G29990
ostta01g03950	AT5G55580
ostta01g03960	AT1G53800
ostta01g03970	AT1G10450
ostta01g03990	AT1G20810
ostta01g04000	AT1G25290
ostta01g04010	AT2G28450
ostta01g04030	ATCG01310
ostta01g04060	AT2G30000
ostta01g04070	AT2G47410
ostta01g04100	AT1G21650
ostta01g04110	AT5G23080
ostta01g04120	AT1G67120
ostta01g04130	AT1G17520
ostta01g04150	AT5G64050
ostta01g04160	AT5G16060
ostta01g04170	AT1G73060
ostta01g04190	AT4G01860
ostta01g04200	AT5G60460
ostta01g04210	AT3G22845
ostta01g04230	AT1G44170
ostta01g04250	AT5G57300
ostta01g04270	AT5G10270
ostta01g04275	AT1G51160
ostta01g04280	AT5G41080
ostta01g04290	AT3G47610
ostta01g04300	AT4G32500
ostta01g04320	AT5G23860
ostta01g04330	AT2G38270
ostta01g04340	AT5G26710
ostta01g04360	AT5G13800
ostta01g04370	AT1G22100
ostta01g04390	AT1G51450
ostta01g04410	AT4G30930
ostta01g04450	AT4G05000
ostta01g04460	AT5G60390
ostta01g04470	AT3G45330
ostta01g04480	AT4G32810
ostta01g04490	AT5G36160
ostta01g04500	AT4G10050
ostta01g04510	AT5G23070
ostta01g04520	AT1G65280
ostta01g04530	AT4G26860
ostta01g04540	AT5G22875
ostta01g04550	AT5G50960
ostta01g04560	AT3G48990
ostta01g04600	AT4G01830
ostta01g04610	AT1G65470
ostta01g04620	AT4G24520
ostta01g04630	AT3G16770
ostta01g04650	AT4G08850
ostta01g04660	AT1G07670
ostta01g04680	AT1G56440
ostta01g04700	AT2G25970
ostta01g04710	AT3G20810
ostta01g04720	AT5G25820
ostta01g04730	AT2G42210
ostta01g04740	AT1G29630
ostta01g04770	AT4G20380
ostta01g04790	AT2G47980
ostta01g04810	AT3G61870
ostta01g04830	AT5G51220
ostta01g04840	AT4G32720
ostta01g04850	AT1G79730
ostta01g04860	AT3G54900
ostta01g04870	AT2G06025
ostta01g04880	AT3G53270
ostta01g04890	AT3G20810
ostta01g04900	AT4G01610
ostta01g04920	AT2G30950
ostta01g04930	AT1G47278
ostta01g04940	AT5G01530
ostta01g04950	AT1G53750
ostta01g04970	AT4G39160
ostta01g04980	AT4G34910
ostta01g05000	AT5G27660
ostta01g05005	AT5G66140
ostta01g05030	AT5G24360
ostta01g05040	AT5G26667
ostta01g05060	AT4G04830
ostta01g05070	AT5G63860
ostta01g05080	AT5G18900
ostta01g05090	AT4G21540
ostta01g05110	AT2G32230
ostta01g05120	AT1G24310
ostta01g05155	AT2G43180
ostta01g05160	AT4G37940
ostta01g05170	AT5G09850
ostta01g05180	AT5G04810
ostta01g05190	AT1G03140
ostta01g05200	AT5G44785
ostta01g05210	AT2G25290
ostta01g05230	AT5G15550
ostta01g05240	AT1G50030
ostta01g05250	AT5G62810
ostta01g05260	AT1G74040
ostta01g05280	AT5G13480
ostta01g05290	AT5G66530
ostta01g05310	AT1G49490
ostta01g05320	AT1G21720
ostta01g05330	AT5G67490
ostta01g05340	AT5G53350
ostta01g05360	AT3G18760
ostta01g05380	AT4G20760
ostta01g05390	AT1G55805
ostta01g05410	AT5G59900
ostta01g05420	AT3G44600
ostta01g05430	AT2G35210
ostta01g05440	AT5G47690
ostta01g05450	AT1G54320
ostta01g05460	AT1G03280
ostta01g05470	AT3G10530
ostta01g05480	AT1G61570
ostta01g05490	AT1G12580
ostta01g05510	AT4G24204
ostta01g05520	AT3G59650
ostta01g05540	AT2G02050
ostta01g05550	AT4G15110
ostta01g05560	AT1G59900
ostta01g05580	AT4G31390
ostta01g05590	AT1G14660
ostta01g05600	AT2G46520
ostta01g05610	AT3G02450
ostta01g05620	AT1G08490
ostta01g05630	AT2G25170
ostta01g05640	AT1G78915
ostta01g05650	AT4G16520
ostta01g05660	AT3G04500
ostta01g05670	AT1G71800
ostta01g05680	AT3G53640
ostta01g05690	AT5G45930
ostta01g05700	AT5G63890
ostta01g05710	AT3G57340
ostta01g05720	AT1G10150
ostta01g05750	AT2G42770
ostta01g05760	AT4G10100
ostta01g05770	AT4G36880
ostta01g05780	AT5G11980
ostta01g05790	AT3G51620
ostta01g05820	AT5G17900
ostta01g05830	AT5G14740
ostta01g05850	AT4G21470
ostta01g05860	AT2G40800
ostta01g05870	AT1G80410
ostta01g05880	AT1G17730
ostta01g05890	AT4G23430
ostta01g05900	AT5G64730
ostta01g05910	AT4G09750
ostta01g05920	AT4G34570
ostta01g05930	AT4G27760
ostta01g05950	AT4G09750
ostta01g05960	AT5G48060
ostta01g05970	AT5G18400
ostta01g05980	AT1G76450
ostta01g05990	AT5G49555
ostta01g06000	AT3G54210
ostta01g06010	AT5G14520
ostta01g06030	AT1G70210
ostta01g06050	AT5G58340
ostta01g06080	AT4G39520
ostta01g06090	AT1G08125
ostta01g06100	AT1G32080
ostta01g06110	AT4G22120
ostta01g06120	AT5G45140
ostta01g06140	AT1G30520
ostta01g06150	AT2G26760
ostta01g06160	AT4G32910
ostta01g06170	AT5G48810
ostta01g06210	AT1G08125
ostta01g06220	AT3G14120
ostta01g06230	AT5G24460
ostta01g06240	AT4G35450
ostta01g06260	AT1G72030
ostta01g06270	AT4G13720
ostta01g06290	AT4G21470
ostta01g06310	AT3G04280
ostta01g06330	AT5G15920
ostta01g06340	AT5G59970
ostta01g06350	AT5G59970
ostta01g06370	AT4G29520
ostta01g06380	AT5G63860
ostta01g06390	AT2G35040
ostta01g06420	AT1G03110
ostta01g06430	AT1G60550
ostta01g06450	AT3G07400
ostta01g06460	AT2G38740
ostta01g06465	AT1G02330
ostta01g06470	AT5G24850
ostta01g06500	AT5G59740
ostta01g06530	AT2G27285
ostta01g06540	AT4G23650
ostta01g06560	AT4G16765
ostta01g06610	AT4G03280
ostta01g06620	AT5G52210
ostta01g06630	AT5G05820
ostta01g06640	AT4G03560
ostta01g06660	AT3G25110
ostta01g06670	AT4G01935
ostta01g06680	AT3G10420
ostta10g00010	AT3G11964
ostta10g00020	AT5G62600
ostta10g00030	AT5G15860
ostta10g00040	AT1G56290
ostta10g00050	AT1G04690
ostta10g00070	AT1G79590
ostta10g00080	AT1G70070
ostta10g00090	AT1G69070
ostta10g00100	AT2G31170
ostta10g00110	AT5G49940
ostta10g00120	AT1G36050
ostta10g00140	AT1G79190
ostta10g00150	AT1G31970
ostta10g00160	AT5G51540
ostta10g00170	AT3G20810
ostta10g00180	AT1G63490
ostta10g00200	AT4G35760
ostta10g00220	AT4G29830
ostta10g00230	AT4G39960
ostta10g00250	AT1G34360
ostta10g00260	AT1G69830
ostta10g00270	AT3G01770
ostta10g00280	AT4G21140
ostta10g00290	AT1G19920
ostta10g00300	AT2G33210
ostta10g00310	AT5G52800
ostta10g00320	AT3G18600
ostta10g00330	AT1G01170
ostta10g00340	AT1G08840
ostta10g00350	AT4G16710
ostta10g00360	AT3G48425
ostta10g00370	AT4G33120
ostta10g00380	AT2G22870
ostta10g00390	AT4G11790
ostta10g00410	AT5G47680
ostta10g00420	AT2G04030
ostta10g00430	AT2G38560
ostta10g00440	AT4G14490
ostta10g00500	AT5G01260
ostta10g00510	AT1G45233
ostta10g00520	AT1G67440
ostta10g00530	AT5G19760
ostta10g00540	AT1G48900
ostta10g00545	AT1G43560
ostta10g00550	AT4G36195
ostta10g00565	AT3G56510
ostta10g00570	AT4G35987
ostta10g00580	AT2G43360
ostta10g00610	AT5G53400
ostta10g00620	AT5G47570
ostta10g00630	AT2G27600
ostta10g00640	AT1G08130
ostta10g00650	AT5G44750
ostta10g00670	AT1G02970
ostta10g00680	AT4G05190
ostta10g00690	AT5G53580
ostta10g00710	AT4G27540
ostta10g00740	AT3G52200
ostta10g00770	AT5G04620
ostta10g00780	AT3G24200
ostta10g00790	AT5G13740
ostta10g00800	AT1G09575
ostta10g00810	AT1G15470
ostta10g00820	AT3G50920
ostta10g00830	AT1G20260
ostta10g00840	AT5G42300
ostta10g00850	AT3G46200
ostta10g00860	AT5G20350
ostta10g00910	AT4G37630
ostta10g00920	AT1G77760
ostta10g00930	AT2G15620
ostta10g00940	AT5G50200
ostta10g00950	AT5G60770
ostta10g00960	AT1G80310
ostta10g00970	AT2G31955
ostta10g00990	AT5G55130
ostta10g01000	AT5G48810
ostta10g01020	AT2G38910
ostta10g01030	AT3G58580
ostta10g01050	AT4G32830
ostta10g01070	AT5G42140
ostta10g01100	AT2G29960
ostta10g01110	AT1G13980
ostta10g01120	AT5G42270
ostta10g01140	AT1G10580
ostta10g01150	AT3G20390
ostta10g01160	AT3G54940
ostta10g01170	AT4G00585
ostta10g01180	AT3G14290
ostta10g01190	AT5G03415
ostta10g01210	AT1G08420
ostta10g01230	AT3G51390
ostta10g01240	AT1G13310
ostta10g01260	AT1G53580
ostta10g01270	AT1G54250
ostta10g01280	AT5G56000
ostta10g01290	AT2G29900
ostta10g01310	AT3G51030
ostta10g01320	AT1G32160
ostta10g01340	AT4G17895
ostta10g01350	AT2G34980
ostta10g01360	AT4G35800
ostta10g01370	AT5G50950
ostta10g01380	AT5G41970
ostta10g01420	AT3G08970
ostta10g01430	AT3G07560
ostta10g01440	AT5G43930
ostta10g01450	AT2G20030
ostta10g01460	AT1G77000
ostta10g01470	AT1G18270
ostta10g01480	AT1G80920
ostta10g01490	AT4G34200
ostta10g01500	AT5G01590
ostta10g01510	AT3G03210
ostta10g01530	AT2G17890
ostta10g01550	AT2G01320
ostta10g01560	AT1G17130
ostta10g01570	AT3G13050
ostta10g01580	AT3G13350
ostta10g01590	AT5G61880
ostta10g01600	AT5G58450
ostta10g01610	AT1G68830
ostta10g01620	AT1G23465
ostta10g01640	AT5G01500
ostta10g01680	AT5G13490
ostta10g01690	AT3G16170
ostta10g01700	AT5G58870
ostta10g01720	AT3G16090
ostta10g01740	AT4G38890
ostta10g01745	AT3G14110
ostta10g01760	AT1G15520
ostta10g01810	AT5G39900
ostta10g01820	AT5G16620
ostta10g01830	AT2G42810
ostta10g01840	AT3G04710
ostta10g01850	AT5G59180
ostta10g01870	AT2G20360
ostta10g01890	AT1G09020
ostta10g01900	AT5G17270
ostta10g01910	AT3G02540
ostta10g01940	AT2G34460
ostta10g01950	AT2G33730
ostta10g01980	AT4G25700
ostta10g02000	AT2G26470
ostta10g02010	AT1G08125
ostta10g02015	AT5G56710
ostta10g02030	AT5G42370
ostta10g02040	AT3G03980
ostta10g02050	AT1G71696
ostta10g02060	AT5G49150
ostta10g02070	AT4G18770
ostta10g02080	AT3G05480
ostta10g02100	AT3G18524
ostta10g02120	AT5G09680
ostta10g02130	AT4G02220
ostta10g02140	AT1G14850
ostta10g02160	AT1G07140
ostta10g02170	AT3G51100
ostta10g02180	AT5G62290
ostta10g02190	AT1G74920
ostta10g02200	AT4G39660
ostta10g02210	AT1G64880
ostta10g02220	AT2G34090
ostta10g02240	AT1G66070
ostta10g02250	AT5G06350
ostta10g02255	AT5G46290
ostta10g02270	AT4G26555
ostta10g02290	AT2G19680
ostta10g02310	AT5G25150
ostta10g02340	AT2G29650
ostta10g02400	AT4G18810
ostta10g02410	AT3G16630
ostta10g02420	AT1G51300
ostta10g02435	AT3G59380
ostta10g02440	AT3G63530
ostta10g02450	AT4G37110
ostta10g02460	AT1G25220
ostta10g02470	AT5G19370
ostta10g02490	AT4G05090
ostta10g02520	AT3G01160
ostta10g02530	AT1G64150
ostta10g02540	AT3G57050
ostta10g02550	AT3G54380
ostta10g02570	AT3G55610
ostta10g02580	AT2G46210
ostta10g02590	AT4G35410
ostta10g02610	AT4G14910
ostta10g02630	AT4G30920
ostta10g02660	AT4G38800
ostta10g02670	AT1G47750
ostta10g02690	AT5G47010
ostta10g02700	AT3G06483
ostta10g02710	AT1G79090
ostta10g02720	AT5G49930
ostta10g02750	AT2G16600
ostta10g02760	AT2G30105
ostta10g02770	AT1G79050
ostta10g02780	AT1G11860
ostta10g02790	AT1G02970
ostta10g02800	AT4G14965
ostta10g02810	AT2G25910
ostta10g02820	AT1G65070
ostta10g02830	AT1G05460
ostta10g02840	AT2G34750
ostta10g02860	AT4G14210
ostta10g02870	AT4G31400
ostta10g02880	AT2G24765
ostta10g02890	AT4G35480
ostta10g02900	AT5G09410
ostta10g02910	AT2G18290
ostta10g02920	AT4G34700
ostta10g02930	AT2G21440
ostta10g02940	AT5G43710
ostta10g02950	AT2G25190
ostta10g02960	AT2G19790
ostta10g02970	AT1G15020
ostta10g02990	AT1G24440
ostta10g03000	AT5G07810
ostta10g03010	AT1G78900
ostta10g03050	AT3G24100
ostta10g03070	AT1G02130
ostta10g03130	AT4G19720
ostta10g03135	AT2G27020
ostta10g03140	AT4G37200
ostta10g03150	AT2G17730
ostta10g03170	AT3G43790
ostta10g03200	AT2G26080
ostta10g03220	AT4G18372
ostta10g03240	AT5G53170
ostta10g03250	AT1G50510
ostta10g03290	AT3G06980
ostta10g03300	AT1G06110
ostta10g03310	AT2G45200
ostta10g03340	AT2G21370
ostta10g03360	AT4G05420
ostta10g03365	AT4G26160
ostta10g03370	AT3G63510
ostta10g03380	AT1G29260
ostta10g03390	AT5G03300
ostta10g03400	AT5G58470
ostta10g03410	AT2G32950
ostta10g03420	AT1G42970
ostta10g03430	AT4G33030
ostta10g03435	AT1G30110
ostta10g03440	AT3G62030
ostta10g03450	AT1G36160
ostta10g03470	AT3G57170
ostta10g03490	AT5G35980
ostta10g03500	AT3G26070
ostta10g03520	AT1G56260
ostta10g03550	AT1G69750
ostta11g00010	AT1G08030
ostta11g00020	AT5G57990
ostta11g00040	AT1G03160
ostta11g00050	AT1G63970
ostta11g00060	AT5G10860
ostta11g00070	AT3G02730
ostta11g00080	AT4G26900
ostta11g00090	AT5G30490
ostta11g00100	AT5G51140
ostta11g00110	AT5G12210
ostta11g00130	AT1G72560
ostta11g00140	AT2G38360
ostta11g00150	AT4G34120
ostta11g00160	AT3G16810
ostta11g00170	AT1G74700
ostta11g00210	AT4G32900
ostta11g00220	AT1G80070
ostta11g00230	AT4G15030
ostta11g00260	AT3G29320
ostta11g00270	AT1G48630
ostta11g00280	AT5G51300
ostta11g00290	AT2G45700
ostta11g00330	AT4G11960
ostta11g00340	AT1G56170
ostta11g00380	AT1G61700
ostta11g00400	AT3G07930
ostta11g00410	AT5G65930
ostta11g00420	AT3G18290
ostta11g00430	AT5G35970
ostta11g00460	AT3G54280
ostta11g00470	AT3G17880
ostta11g00480	AT5G02130
ostta11g00500	AT5G40500
ostta11g00520	AT2G01110
ostta11g00530	AT5G59980
ostta11g00540	AT5G16290
ostta11g00570	AT1G26760
ostta11g00590	AT1G09800
ostta11g00600	AT2G43235
ostta11g00610	AT1G01760
ostta11g00630	AT4G00020
ostta11g00640	AT3G03890
ostta11g00660	AT1G63380
ostta11g00670	AT1G31600
ostta11g00680	AT5G19620
ostta11g00690	AT1G58290
ostta11g00700	AT5G35220
ostta11g00720	AT5G59740
ostta11g00730	AT2G04660
ostta11g00760	AT3G22590
ostta11g00770	AT5G57800
ostta11g00780	AT5G54600
ostta11g00790	AT5G05670
ostta11g00800	AT3G01850
ostta11g00820	AT5G67320
ostta11g00830	AT1G80680
ostta11g00840	AT2G20050
ostta11g00850	AT2G26650
ostta11g00860	AT5G03905
ostta11g00870	AT1G27450
ostta11g00890	AT5G49470
ostta11g00900	AT5G21990
ostta11g00910	AT1G44900
ostta11g00930	AT2G26200
ostta11g00940	AT1G67320
ostta11g00960	AT3G46970
ostta11g00970	AT2G20930
ostta11g00980	AT3G13490
ostta11g00985	AT4G25660
ostta11g00990	AT1G76570
ostta11g01000	AT3G25230
ostta11g01030	AT1G55930
ostta11g01045	AT4G01995
ostta11g01050	AT4G36040
ostta11g01060	AT1G28420
ostta11g01070	AT2G36070
ostta11g01080	AT3G07670
ostta11g01100	AT1G70310
ostta11g01110	AT4G39850
ostta11g01120	AT2G38780
ostta11g01130	AT1G19140
ostta11g01140	AT3G03410
ostta11g01150	AT1G07615
ostta11g01160	AT1G15110
ostta11g01170	AT1G17820
ostta11g01180	AT4G10760
ostta11g01200	AT5G10800
ostta11g01210	AT1G20960
ostta11g01240	AT4G02720
ostta11g01250	AT1G18160
ostta11g01260	AT5G62640
ostta11g01275	AT5G51700
ostta11g01280	AT2G02765
ostta11g01290	AT4G15180
ostta11g01300	AT4G13870
ostta11g01320	AT1G27840
ostta11g01325	AT5G48680
ostta11g01330	AT5G12410
ostta11g01340	AT1G11680
ostta11g01350	AT3G49080
ostta11g01370	AT3G11670
ostta11g01380	AT1G11060
ostta11g01400	AT1G67630
ostta11g01420	AT5G06260
ostta11g01450	AT4G22350
ostta11g01455	AT1G06200
ostta11g01460	AT1G71990
ostta11g01470	AT5G19540
ostta11g01480	AT1G56420
ostta11g01490	AT3G54140
ostta11g01500	AT4G22260
ostta11g01520	AT1G53280
ostta11g01530	AT5G67500
ostta11g01540	AT3G55480
ostta11g01550	AT1G28140
ostta11g01560	AT1G24610
ostta11g01570	AT4G36020
ostta11g01580	AT1G48430
ostta11g01600	AT5G57160
ostta11g01610	AT1G22800
ostta11g01630	AT2G35610
ostta11g01640	AT3G50690
ostta11g01660	AT2G20060
ostta11g01670	AT5G17770
ostta11g01690	AT5G44740
ostta11g01700	AT2G22250
ostta11g01710	AT5G17650
ostta11g01720	AT3G22880
ostta11g01730	AT1G08370
ostta11g01740	AT1G17745
ostta11g01750	AT5G11900
ostta11g01760	AT2G16440
ostta11g01810	AT1G51310
ostta11g01820	AT2G01120
ostta11g01830	AT2G47490
ostta11g01840	AT1G08260
ostta11g01860	AT5G20380
ostta11g01910	AT1G58060
ostta11g01920	AT1G53520
ostta11g01930	AT1G48520
ostta11g01940	AT1G71500
ostta11g01960	AT4G30820
ostta11g01970	AT2G14825
ostta11g01980	AT4G23940
ostta11g01990	AT2G24640
ostta11g02000	AT3G58620
ostta11g02010	AT2G28620
ostta11g02020	AT5G56680
ostta11g02040	AT5G47490
ostta11g02050	AT2G16940
ostta11g02060	AT4G01000
ostta11g02070	AT1G12600
ostta11g02080	AT5G04900
ostta11g02090	AT4G30210
ostta11g02095	AT5G36890
ostta11g02100	AT3G19970
ostta11g02110	AT2G40840
ostta11g02120	AT3G12080
ostta11g02140	AT3G46980
ostta11g02150	AT5G10980
ostta11g02160	AT5G59970
ostta11g02170	AT5G53400
ostta11g02190	AT4G29490
ostta11g02220	AT1G76050
ostta11g02230	AT3G26680
ostta11g02240	AT4G38470
ostta11g02260	AT1G02910
ostta11g02270	AT4G02405
ostta11g02280	AT2G35660
ostta11g02290	AT3G62140
ostta11g02300	AT4G33520
ostta11g02310	AT2G21385
ostta11g02320	AT1G55920
ostta11g02340	AT3G17970
ostta11g02350	AT1G26370
ostta11g02360	AT4G23620
ostta11g02370	AT2G31510
ostta11g02380	AT3G02080
ostta11g02400	AT3G06700
ostta11g02410	AT2G26590
ostta11g02440	AT2G35800
ostta11g02450	AT4G31770
ostta11g02460	AT3G44340
ostta11g02470	AT1G08960
ostta11g02480	AT3G23900
ostta11g02490	AT5G49520
ostta11g02500	AT3G59540
ostta11g02505	AT1G17410
ostta11g02510	AT4G20130
ostta11g02520	AT4G38260
ostta11g02540	AT1G05630
ostta11g02550	AT5G01340
ostta11g02560	AT4G31180
ostta11g02570	AT4G21540
ostta11g02610	AT3G61460
ostta11g02620	AT5G60580
ostta11g02630	AT4G28030
ostta11g02640	AT2G40700
ostta11g02650	AT4G13590
ostta11g02660	AT5G25640
ostta11g02670	AT2G30390
ostta11g02680	AT2G25870
ostta11g02690	AT5G19660
ostta11g02700	AT4G18370
ostta11g02730	AT4G27650
