ProteinID	ProteinPhase	TranscriptPhase	Annotation
ostta02g04550	1.5	13.6	 DNA-binding TFAR19-related protein
ostta02g04680	8.2	0.3	 unnamed product
ostta02g04740	10.4	11.4	 Flavodoxin/nitric oxide synthase
ostta02g04750	4.1	8.8	 Peptidase M20, dimerisation domain
ostta02g04860	0.3	23.1	 KOW
ostta02g04905	2.5	16.9	 Armadillo-type fold
ostta02g04910	19.3	14.2	 unnamed product
ostta02g04930	7	20	 Uncharacterised protein family UPF0250
ostta02g04990	9.6	21.4	 ATP-grasp fold, subdomain 2
ostta02g05020	7.2	0.9	 UBA-like
ostta02g05090	12.4	20.6	 unnamed product
ostta02g05140	4.3	13.9	 RWP-RK domain
ostta02g05150	18	15	 Short-chain dehydrogenase/reductase SDR
ostta02g05170	2.5	4.8	 Pyruvate, phosphate dikinase
ostta02g05190	18.3	21.2	 Patatin/Phospholipase A2-related
ostta02g05210	22.3	11	 Ribosomal protein S1, RNA-binding domain
ostta02g05390	22.6	21.8	 Peroxisome biogenesis factor 1, N-terminal
ostta02g05430	5.9	13.5	 Lipopolysaccharide-modifying protein
ostta02g05480	14.2	0.4	 unnamed product
ostta02g05510	7.4	5.6	 Cobalamin vitamin B12 biosynthesis CobW-like, C-terminal
ostta02g05540	2.1	20.5	 hypothetical protein
ostta03g00040	8.2	4.9	 Peroxisome assembly protein 12
ostta03g00240	15.1	21	 unnamed product
ostta03g00300	10.3	15.9	 Translation elongation factor EFTs/EF1B, dimerisation
ostta03g00430	0.4	19.6	 unnamed product
ostta03g00490	4.3	20.2	 Glycoside hydrolase, family 13, N-terminal
ostta03g00640	3.6	0.9	 tRNA-guanine15 transglycosylase-like
ostta03g00710	20.9	15.4	 Nucleotide sugar epimerase
ostta03g00720	4.1	14.2	 unnamed product
ostta03g00820	2.5	15.6	 Protein of unknown function DUF3464
ostta03g00880	13.7	21.5	 SANT/Myb domain
ostta03g00920	21.9	11.4	 ENTH/VHS
ostta03g01130	10	22.1	 Quinonprotein alcohol dehydrogenase-like superfamily
ostta03g01160	0.5	16.7	 unnamed product
ostta03g01300	9.7	0.6	 Ribosomal protein L10/acidic P0
ostta03g01310	15	9.8	 Fatty acid desaturase, type 1
ostta03g01390	23.8	20.5	 unnamed product
ostta03g01510	23.6	19.2	 unnamed product
ostta03g01570	22	16.5	 ABC transporter, conserved site
ostta03g01590	19.5	21.4	 Concanavalin A-like lectin/glucanase, subgroup
ostta03g01610	23.3	17	 Steadiness box
ostta03g01640	11.7	1.5	 Thioredoxin-like fold
ostta03g02140	23.4	15.8	 U6 snRNA-associated Sm-like protein LSm4/Small nuclear ribonucleoprotein Sm D1/
ostta03g02230	10.9	2.7	 Phospholipid methyltransferase
ostta03g02300	23.4	21.9	 Peptidase S1C
ostta03g02530	0.1	20.6	 Armadillo-type fold
ostta03g02630	21.4	13.2	 unnamed product
ostta03g02650	1.3	20.8	 Carbohydrate kinase, FGGY, C-terminal
ostta03g02730	23.6	18.5	 Prenyltransferase/squalene oxidase
ostta03g02820	7.1	3.5	 Serine hydroxymethyltransferase
ostta03g02840	1.9	18.3	 unnamed product
ostta03g02960	10.6	1.5	 P-loop containing nucleoside triphosphate hydrolase
ostta03g03015	7.4	4.1	' Orotidine 5''-phosphate decarboxylase, active site'
ostta03g03040	9.6	4.8	 Tetratricopeptide repeat
ostta03g03130	16.5	12	 unnamed product
ostta03g03170	19.3	12.9	 unnamed product
ostta03g03260	21.8	16.1	 P-loop containing nucleoside triphosphate hydrolase
ostta03g03300	9.6	18.7	 Domain of unknown function DUF292, eukaryotic
ostta03g03340	1.9	15.8	 Sel1-like
ostta03g03410	23	14.3	 EMSY N-terminal
ostta03g03580	0.9	15.6	 ABC transporter, conserved site
ostta03g03600	17	10.6	 Ubiquitin supergroup
ostta03g03650	1.6	10	 Serine/threonine-protein kinase, active site
ostta03g03690	2.2	20.8	 Membrane insertase OXA1/ALB3/YidC
ostta03g03700	14.9	16.4	 Pyridoxal phosphate-dependent transferase, major region, subdomain 2
ostta03g03750	0.3	1.3	 Exoribonuclease, phosphorolytic domain 2
ostta03g03780	14	13.7	 RNA-recognition motif RRM Nup35-type domain
ostta03g03900	9.7	5.6	 Exodeoxyribonuclease III xth
ostta03g04080	20.4	4.8	 Ribosome biogenesis protein BRX1
ostta03g04130	3.6	22.3	 Cation efflux protein
ostta03g04140	20.4	16.9	 3-isopropylmalate dehydratase, small subunit
ostta03g04150	3.2	20	 Poly A polymerase, head domain
ostta03g04330	2.1	14.8	 Ribosomal protein L28
ostta03g04440	22.3	22.5	 Myb domain, plants
ostta03g04620	23.4	16.1	 Translation elongation factor P/YeiP, central
ostta03g04720	20.7	18.3	 Fatty acid desaturase, type 1
ostta03g04920	6.2	8.9	 T-complex protein 1, alpha subunit
ostta03g04950	9.7	20.2	 PapD-like
ostta03g04960	21.5	17.5	 Phosphoserine aminotransferase
ostta03g05240	3.4	15	 Ribosomal protein L39e, conserved site
ostta03g05290	10.5	3.9	 Cyclophilin-type peptidyl-prolyl cis-trans isomerase, conserved site
ostta03g05530	2.1	14	 Serine/threonine-protein kinase, active site
ostta03g05570	0.5	1.5	 Arf GTPase activating protein
ostta03g05620	4.1	2.3	 DEK, C-terminal
ostta03g05680	0.6	14.5	 Tetratricopeptide repeat
ostta03g05710	8	20.6	 unnamed product
ostta03g05740	0.7	20.6	 Six-bladed beta-propeller, TolB-like
ostta03g05880	3.3	21	 Glyoxalase/fosfomycin resistance/dioxygenase domain
ostta03g05910	0.1	16.3	 Structural maintenance of chromosomes protein
ostta04g00080	6.4	18.3	 Isochorismatase-like
ostta04g00090	8.2	2	 Carotenoid oxygenase
ostta04g00200	3.1	19.3	 Protein of unknown function DUF1749
ostta04g00240	18.8	23.5	 Rubisco LS methyltransferase, substrate-binding domain
ostta04g00370	14.4	10.4	 Armadillo-type fold
ostta04g00380	0.7	16	 Quinolinate phosphoribosyl transferase, C-terminal
ostta04g00430	22.5	17.1	 Cyclophilin-type peptidyl-prolyl cis-trans isomerase, conserved site n/a  Cyclotidyl-prolyl cis-trans isomerase, conserved site
ostta04g00450	18.9	13.8	 NIF system FeS cluster assembly, NifU-like scaffold, N-terminal
ostta04g00490	15.6	13.2	 6-phosphogluconate dehydrogenase, C-terminal-like
ostta04g00510	6.2	21.5	 Short-chain dehydrogenase/reductase SDR
ostta04g00730	23.6	19.1	 Chlorophyll A-B binding protein, plant
ostta04g00750	1.9	23.2	 tRNA 2-selenouridine synthase
ostta04g00840	22.3	17.7	 unnamed product
ostta04g00880	14.2	23.5	 unnamed product
ostta04g00930	18.6	2.8	 Chloroplast envelope membrane protein, CemA
ostta04g01130	23.8	12.2	 tRNA modification GTPase MnmE domain 2
ostta04g01550	10.1	15	 Zinc finger, PHD-finger
ostta04g01570	17.3	14.3	 NADP-binding domain
ostta04g01720	4.5	20.1	 DNA photolyase, class 2
ostta04g01730	20.5	12.5	 DnaJ domain
ostta04g01920	18.1	15.9	 Quinonprotein alcohol dehydrogenase-like superfamily
ostta04g02090	10.1	6.8	 Ribosomal protein S23/S29, mitochondrial
ostta04g02140	16.6	22.2	 Ribosomal protein L22, bacterial/chloroplast-type
ostta04g02220	4.5	16.8	 Aldehyde dehydrogenase, C-terminal
ostta04g02320	13.7	5.6	 unnamed product
ostta04g02390	20.6	23.2	 Translation elongation factor EFTs/EF1B, dimerisation
ostta04g02500	6.4	21.7	 Peptidoglycan-binding lysin domain
ostta04g02520	17.5	22.8	 Cold-shock protein, DNA-binding
ostta04g02610	23.5	16.8	 Flavin amine oxidase
ostta04g02720	13.3	6.2	 Ankyrin repeat
ostta04g02860	0.7	23.1	 Pyrophosphate-dependent phosphofructokinase TP0108
ostta04g03000	8.4	17.3	 Serine/threonine-protein kinase, active site
ostta04g03190	10.1	2.9	 Mini-chromosome maintenance, DNA-dependent ATPase
ostta04g03200	17.8	2.6	 Zinc-finger domain of monoamine-oxidase A repressor R1
ostta04g03310	23.4	14.4	 WD40 repeat
ostta04g03400	1.2	21	 Helicase-associated
ostta04g03550	3	1.4	 Sec1-like protein
ostta04g03710	11.3	5.7	 Type II pantothenate kinase
ostta04g03720	21.2	14.2	 Clathrin/coatomer adaptor, adaptin-like, N-terminal
ostta04g03800	15.3	13	 ABC transporter, conserved site
ostta04g03920	7.8	18	 Armadillo-type fold
ostta04g03940	17.5	13.3	 SNARE associated Golgi protein
ostta04g04040	0.7	14.1	 unnamed product
ostta04g04110	24	19.2	 unnamed product
ostta04g04120	1.4	18.2	 Ankyrin repeat
ostta04g04140	16	11.3	 WD40/YVTN repeat-like-containing domain
ostta04g04210	14	4.8	 Coatomer, alpha subunit, C-terminal
ostta04g04270	18.3	13.5	 Aminoacyl-tRNA synthetase, class II
ostta04g04630	14.2	11.7	 Zinc finger, TRAF-type
ostta04g04820	18.3	15.3	 WD40 repeat
ostta04g05050	8.8	19.2	 Zinc finger, PHD-finger
ostta04g05190	21.7	15.9	 Magnesium chelatase, subunit H, N-terminal
ostta04g05460	1.4	8.7	 Helicase, C-terminal
ostta04g05470	16.6	13.5	 unnamed product
ostta04g05510	19.6	19.3	 unnamed product
ostta04g05560	3.8	17.5	 Glycoside hydrolase, superfamily
ostta05g00070	9.3	20	 Mog1/PsbP, alpha/beta/alpha sandwich
ostta05g00100	9	4.3	 Snf7
ostta05g00380	19.5	19.2	 Clathrin/coatomer adaptor, adaptin-like, N-terminal
ostta05g00490	3.2	5.5	 Epoxide hydrolase-like
ostta05g00530	12.6	8.8	 unnamed product
ostta05g00560	8.6	4.7	 unnamed product
ostta05g00970	13.5	19	 Kelch-type beta propeller
ostta05g01000	3.9	5.7	 Protein translocase subunit SecA
ostta05g01010	8.6	0.5	 unnamed product
ostta05g01200	6.1	19.2	 Isy1-like splicing
ostta05g01220	14	18	 Aromatic-ring hydroxylase-like
ostta05g01660	20.1	13	 unnamed product
ostta05g01850	18.6	16.2	 Tetratricopeptide repeat
ostta05g01870	1.1	3.5	 Malic enzyme, NAD-binding
ostta05g02100	22.2	14.2	 Protein kinase-like domain
ostta05g02330	0.7	16.9	 P-loop containing nucleoside triphosphate hydrolase
ostta05g02340	15.4	13	 Pyrophosphate-energised proton pump
ostta05g02450	22.3	12.8	 YL1 nuclear
ostta05g02610	14.3	0.4	 Serine/threonine-protein kinase, active site
ostta05g02650	23.7	10.7	 unnamed product
ostta05g02740	1	11.6	 Glycosyl hydrolase, family 13, catalytic domain
ostta05g02950	1.7	16.5	 Heat shock protein 70 family
ostta05g03110	5	20	 Clathrin/coatomer adaptor, adaptin-like, N-terminal
ostta05g03220	6.8	4.1	 Bacterial transferase hexapeptide repeat
ostta05g03460	6.1	0.2	 unnamed product
ostta05g03570	14.5	14.9	 unnamed product
ostta05g03640	0	15.3	 Methyltransferase type 11
ostta05g03850	4.6	18.7	 unnamed product
ostta05g03960	10.6	8.9	 Beclin family
ostta05g04070	0.1	20	 P-loop containing nucleoside triphosphate hydrolase
ostta05g04340	6.2	3.1	 unnamed product
ostta05g04430	3.4	20.8	 Interphotoreceptor retinol-binding
ostta05g04440	22	20.9	 HCNGP-like
ostta05g04550	22.5	13.6	 SNF2-related
ostta05g04560	15.4	9.2	 Ankyrin repeat
ostta05g04590	18.9	17.7	 unnamed product
ostta05g04630	13.6	14.9	 Zinc finger, RING/FYVE/PHD-type
ostta05g04680	15.7	15.2	 Cytochrome b5-like heme/steroid binding domain
ostta05g04700	0.5	17.2	 Ribosomal protein L27e
ostta05g04720	20	11.4	 HSP40/DnaJ peptide-binding
ostta05g04730	5.3	1.4	 G-protein beta WD-40 repeat
ostta05g04810	17.9	13	 Domain of unknown function DUF3351
ostta05g04850	9.9	1	 Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
ostta05g04870	12.2	17.2	 Short-chain dehydrogenase/reductase SDR
ostta05g04920	6.8	3.1	 Tetratricopeptide repeat
ostta05g04960	11.6	6.7	 C-5 cytosine methyltransferase
ostta06g00050	7.2	14.5	 unnamed product
ostta06g00090	4.1	20.4	 Pentatricopeptide repeat
ostta06g00100	22.8	13.3	 Ribosome biogenesis protein BMS1/TSR1, C-terminal
ostta06g00135	3.4	23.5	 Beta-propeller repeat TECPR
ostta06g00150	0.4	13	 G-protein beta WD-40 repeat
ostta06g00160	1.6	14.9	 Nucleotide-binding, alpha-beta plait
ostta06g00360	17.2	13.1	 Ubiquitin-conjugating enzyme, active site
ostta06g00520	0.6	19.2	 Leucine aminopeptidase/peptidase B
ostta06g00610	2.9	13.5	 Regulator of chromosome condensation, RCC1
ostta06g00690	0.7	17.1	 WD40 repeat
ostta06g00720	16.4	7.3	 MIF4-like, type 1/2/3
ostta06g00740	17.9	15.9	 Peptidyl-prolyl cis-trans isomerase, PpiC-type
ostta06g00790	6.1	0.4	 Thrombospondin, type 1 repeat
ostta06g00880	11.7	23.7	 Inositol monophosphatase
ostta06g01000	6	16.6	 Thioredoxin-like fold
ostta06g01030	3.8	0.7	 Nucleotide-binding, alpha-beta plait
ostta06g01270	18	21.2	 Threonine dehydratase, catabolic
ostta06g01350	8.3	0.5	 Proteasome B-type subunit
ostta06g01580	0.8	15.3	 Zinc finger, HIT-type
ostta06g01650	7	4.1	 Maf1 regulator
ostta06g01680	3.5	21.3	 Metalloenzyme, LuxS/M16 peptidase-like
ostta06g01700	23.9	15.8	 Cytochrome b5-like heme/steroid binding domain
ostta06g01750	1.8	20.2	 P-loop containing nucleoside triphosphate hydrolase
ostta06g01880	16.7	11.3	 t-SNARE
ostta06g02120	4.1	18.8	 Cytochrome b5-like heme/steroid binding domain
ostta06g02190	12.9	1.1	 Armadillo-type fold
ostta06g02440	22.2	13.9	 Glucosamine-fructose-6-phosphate aminotransferase, isomerising
ostta06g02510	20.2	14.2	 Dedicator of cytokinesis
ostta06g02720	23.1	13.7	 Thioredoxin-like fold
ostta06g02780	21.4	9	 MATH
ostta06g02810	18.6	16.9	 WD40 repeat
ostta06g02840	9.6	6.8	 Thioredoxin-like fold
ostta06g02890	21.2	13.1	 Photosystem II PsbR
ostta06g02930	23.6	7	 Glucose-6-phosphate dehydrogenase, NAD-binding
ostta06g02940	14.1	9.4	 unnamed product
ostta06g02960	17.8	14.6	 Glycosyl transferase, family 1
ostta06g03040	23.1	18.5	 Clp, N-terminal
ostta06g03170	20.3	16.9	 Thioredoxin-like fold
ostta06g03250	9.1	5.3	 Inositol monophosphatase, metal-binding site
ostta06g03280	16	14.9	 MAGE protein
ostta06g03310	7.9	18.6	 Rhodanese-like domain
ostta06g03320	22.4	15.6	 P-loop containing nucleoside triphosphate hydrolase
ostta06g03390	8	5.5	 Protein kinase-like domain
ostta06g03480	22.4	14.9	 von Willebrand factor, type A
ostta06g03510	16.8	3.1	 Adenylyl cyclase class-3/4/guanylyl cyclase
ostta06g03620	16.1	12.4	 RNA polymerase III, subunit Rpc25
ostta06g03730	21	23.3	 High mobility group box domain
ostta06g04010	0.2	20.1	 hypothetical protein
ostta06g04060	1.4	18.9	 Lactate dehydrogenase/glycoside hydrolase, family 4, C-terminal
ostta06g04250	22.5	14.2	 Bacterial surface antigen D15
ostta06g04300	20.3	12.7	 Tetratricopeptide repeat
ostta06g04330	3.8	23.6	 ENTH/VHS
ostta06g04370	7.8	19.2	 P-loop containing nucleoside triphosphate hydrolase
ostta06g04450	23	18.7	 WD40/YVTN repeat-like-containing domain
ostta07g00010	2.2	14.7	 Thioredoxin-like fold
ostta07g00080	14	22.2	 K Homology domain, type 1
ostta07g00110	21.7	6.4	 WD40 repeat
ostta07g00120	3.1	2.4	 Serine/threonine-protein kinase, active site
ostta07g00140	10.3	22.1	 Uso1/p115-like vesicle tethering protein, C-terminal
ostta07g00380	13.9	6.4	 Histidine phosphatase superfamily, clade-1
ostta07g00470	21.6	20.2	 GTP cyclohydrolase II, RibA
ostta07g00490	7.3	3.8	 DSS1/SEM1
ostta07g00650	22.1	17.7	 Ribosomal protein L13
ostta07g00920	9.9	6.6	 GRAM domain
ostta07g01030	20.6	19.8	 unnamed product
ostta07g01040	23.6	0.2	 2Fe-2S ferredoxin-type domain
ostta07g01400	0.5	14.8	 Glutathione synthase, substrate-binding, eukaryotic
ostta07g01470	16	20.7	 Ribosomal protein S17
ostta07g01490	0.6	11.1	 NADP-binding domain
ostta07g01520	23.7	18	 Ribulose-phosphate binding barrel
ostta07g01540	23.3	19.5	 unnamed product
ostta07g01580	1.1	22.8	 WD40/YVTN repeat-like-containing domain
ostta07g01760	6.3	0.6	 Protein phosphatase 2C, manganese/magnesium aspartate binding site
ostta07g01810	16.2	20.7	 Ribosomal protein S17
ostta07g01900	5.8	18	 Guanine nucleotide-binding protein-like 3, N-terminal domain
ostta07g01970	15.6	15.4	 Carbohydrate binding module family 20
ostta07g02260	17.7	13.9	 Cyclophilin-type peptidyl-prolyl cis-trans isomerase, conserved site
ostta07g02310	1.5	24	 DnaJ domain
ostta07g02350	13.7	21.8	 Zinc/iron permease
ostta07g02370	1.8	22.5	 Protein of unknown function DUF490
ostta07g02470	9.2	4.6	 Uncharacterised protein family FAM98
ostta07g02550	18.2	13.5	 Conserved hypothetical protein CHP02058
ostta07g02570	9.5	13.1	 Domain of unknown function DUF4057
ostta07g02600	23	21.9	 Armadillo-like helical
ostta07g02660	20	13.1	 NADH:ubiquinone oxidoreductase intermediate-associated protein 30
ostta07g02710	19.7	13.9	 Carotene isomerase
ostta07g03060	4.6	12.1	 Proliferating cell nuclear antigen, PCNA, N-terminal
ostta07g03140	13.9	17.6	 Histidine phosphatase superfamily, clade-1
ostta07g03170	19.3	23.7	 Glycosyl transferase, family 1
ostta07g03340	5.6	3.5	 Rad21/Rec8-like protein, N-terminal
ostta07g03420	0.1	23.4	 Nucleoporin Nup186/Nup192/Nup205
ostta07g03440	14.5	11.3	 Synaptobrevin
ostta07g03480	7.2	20.9	 Patatin/Phospholipase A2-related
ostta07g03620	17.9	20.3	 Heat shock protein Hsp33, N-terminal
ostta07g03900	9.2	21.8	 P-loop containing nucleoside triphosphate hydrolase
ostta07g04060	4.1	9.6	 Syntaxin, N-terminal domain
ostta07g04120	6.2	13.9	 IQ motif, EF-hand binding site
ostta07g04240	19.8	15.3	 Photosystem I Ycf4, assembly
ostta07g04350	21.5	14.6	 DNA helicase, DnaB-like, C-terminal
ostta07g04530	8.3	4.1	 Radical SAM
ostta07g04580	1.3	16.7	 ABC transporter, conserved site
ostta07g04670	2.1	17.8	 U4/U6 small nuclear ribonucleoprotein Prp3
ostta07g04750	7.5	12.2	 Translation elongation/initiation factor/Ribosomal, beta-barrel
ostta08g00050	20.2	16.9	 Putative 5-3 exonuclease
ostta08g00150	7.5	1.6	 Translation elongation/initiation factor/Ribosomal, beta-barrel
ostta08g00190	4	4.4	 26S proteasome subunit P45
ostta08g00470	21.7	15.4	 unnamed product
ostta08g00510	7.3	20	 FMP27,  C-terminal
ostta08g00560	17.4	15.2	 unnamed product
ostta08g00620	22	12.6	 Two pore domain potassium channel domain
ostta08g00710	17.4	13.2	 Thiolase-like, subgroup
ostta08g00720	2.4	20.2	 FERM/acyl-CoA-binding protein, 3-helical bundle
ostta08g00740	14.6	19.4	 RWP-RK domain
ostta08g00750	18.5	20.3	 Rhodanese-like domain
ostta08g00830	16.1	14.1	 ABC transporter, conserved site
ostta08g00850	9.8	3.5	 unnamed product
ostta08g01280	21.2	23.3	 Rhodanese-like domain
ostta08g01330	22.9	16	 Cytochrome P450, E-class, group I
ostta08g01360	2.1	17.5	 unnamed product
ostta08g01410	19.4	14.4	 Basic-leucine zipper domain
ostta08g01480	5.4	21.3	 unnamed product
ostta08g01840	17.1	13.7	 Tetratricopeptide repeat
ostta08g01940	5.7	18.6	 Nucleotide-binding, alpha-beta plait
ostta08g01950	5.7	20.5	 TIP41-like protein
ostta08g02010	2.1	21.8	 Malic enzyme, NAD-binding
ostta08g02240	4.4	21.5	 unnamed product
ostta08g02290	19.3	13.4	 Serine/threonine-protein kinase, active site
ostta08g02330	19.1	18.6	 Alcohol dehydrogenase superfamily, zinc-type
ostta08g02570	6.5	15.7	 Prenylated rab acceptor PRA1
ostta08g02900	18.8	17.3	 Nuclear cap-binding protein subunit 1
ostta08g02990	10	20.3	 Tetrahydrofolate dehydrogenase/cyclohydrolase, conserved site
ostta08g03140	3.4	16	 unnamed product
ostta08g03190	5.7	12.9	 ABC transporter, conserved site
ostta08g03200	1.5	18.5	 Ribosomal protein L21
ostta08g03210	0.6	20.2	 G-protein beta WD-40 repeat
ostta08g03250	19.1	18	 Streptomyces cyclase/dehydrase
ostta08g03610	21.6	22.2	 V-ATPase proteolipid subunit
ostta08g03750	2.1	18.7	 Carbohydrate binding module family 20
ostta08g03770	5.5	0.4	 unnamed product
ostta08g03860	21.8	18	 Chaperonin Cpn60
